Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;Total Nacional;Tasa de paro de la población;2020T4;16.13
Ambos sexos;02 Albacete;Tasa de paro de la población;2020T4;17.44
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2020T4;19.41
Ambos sexos;04 Almería;Tasa de paro de la población;2020T4;21.15
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2020T4;9.99
Ambos sexos;33 Asturias;Tasa de paro de la población;2020T4;13.5
Ambos sexos;05 Ávila;Tasa de paro de la población;2020T4;16.06
Ambos sexos;06 Badajoz;Tasa de paro de la población;2020T4;22.91
Ambos sexos;07 Balears. Illes;Tasa de paro de la población;2020T4;17.34
Ambos sexos;08 Barcelona;Tasa de paro de la población;2020T4;13.67
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2020T4;11.86
Ambos sexos;09 Burgos;Tasa de paro de la población;2020T4;9.4
Ambos sexos;10 Cáceres;Tasa de paro de la población;2020T4;18.52
Ambos sexos;11 Cádiz;Tasa de paro de la población;2020T4;24.91
Ambos sexos;39 Cantabria;Tasa de paro de la población;2020T4;11.79
Ambos sexos;12 Castellón/Castelló;Tasa de paro de la población;2020T4;14.12
Ambos sexos;13 Ciudad Real;Tasa de paro de la población;2020T4;17.49
Ambos sexos;14 Córdoba;Tasa de paro de la población;2020T4;23.75
Ambos sexos;15 Coruña. A;Tasa de paro de la población;2020T4;11.63
Ambos sexos;16 Cuenca;Tasa de paro de la población;2020T4;12.73
Ambos sexos;20 Gipuzkoa;Tasa de paro de la población;2020T4;7.02
Ambos sexos;17 Girona;Tasa de paro de la población;2020T4;13.33
Ambos sexos;18 Granada;Tasa de paro de la población;2020T4;24.84
Ambos sexos;19 Guadalajara;Tasa de paro de la población;2020T4;13.96
Ambos sexos;21 Huelva;Tasa de paro de la población;2020T4;27.16
Ambos sexos;22 Huesca;Tasa de paro de la población;2020T4;12.46
Ambos sexos;23 Jaén;Tasa de paro de la población;2020T4;22.75
Ambos sexos;24 León;Tasa de paro de la población;2020T4;12.07
Ambos sexos;25 Lleida;Tasa de paro de la población;2020T4;10.98
Ambos sexos;27 Lugo;Tasa de paro de la población;2020T4;8.25
Ambos sexos;28 Madrid;Tasa de paro de la población;2020T4;13.53
Ambos sexos;29 Málaga;Tasa de paro de la población;2020T4;19.32
Ambos sexos;30 Murcia;Tasa de paro de la población;2020T4;15.39
Ambos sexos;31 Navarra;Tasa de paro de la población;2020T4;11.65
Ambos sexos;32 Ourense;Tasa de paro de la población;2020T4;10.26
Ambos sexos;34 Palencia;Tasa de paro de la población;2020T4;9.64
Ambos sexos;35 Palmas. Las;Tasa de paro de la población;2020T4;25.88
Ambos sexos;36 Pontevedra;Tasa de paro de la población;2020T4;13.27
Ambos sexos;26 Rioja. La;Tasa de paro de la población;2020T4;10.36
Ambos sexos;37 Salamanca;Tasa de paro de la población;2020T4;15.75
Ambos sexos;38 Santa Cruz de Tenerife;Tasa de paro de la población;2020T4;24.53
Ambos sexos;40 Segovia;Tasa de paro de la población;2020T4;8.21
Ambos sexos;41 Sevilla;Tasa de paro de la población;2020T4;22.44
Ambos sexos;42 Soria;Tasa de paro de la población;2020T4;7.67
Ambos sexos;43 Tarragona;Tasa de paro de la población;2020T4;17.47
Ambos sexos;44 Teruel;Tasa de paro de la población;2020T4;9.25
Ambos sexos;45 Toledo;Tasa de paro de la población;2020T4;19.85
Ambos sexos;46 Valencia/València;Tasa de paro de la población;2020T4;14.65
Ambos sexos;47 Valladolid;Tasa de paro de la población;2020T4;11.35
Ambos sexos;49 Zamora;Tasa de paro de la población;2020T4;11.47
Ambos sexos;50 Zaragoza;Tasa de paro de la población;2020T4;12.92
Ambos sexos;51 Ceuta;Tasa de paro de la población;2020T4;26.74
Ambos sexos;52 Melilla;Tasa de paro de la población;2020T4;23.83
