Comunidades autónomas;Tipo de dato;Periodo;Total
00 Total;Dato base;2019M12;4.304.741
00 Total;Dato base;2019M11;4.655.021
00 Total;Dato base;2019M10;7.587.749
00 Total;Dato base;2019M09;8.845.152
00 Total;Dato base;2019M08;10.118.366
00 Total;Dato base;2019M07;9.873.270
00 Total;Dato base;2019M06;8.833.893
00 Total;Dato base;2019M05;7.919.204
00 Total;Dato base;2019M04;7.146.033
00 Total;Dato base;2019M03;5.649.577
00 Total;Dato base;2019M02;4.380.504
00 Total;Dato base;2019M01;4.195.641
01 Andaluc’a;Dato base;2019M12;557.861
01 Andaluc’a;Dato base;2019M11;614.169
01 Andaluc’a;Dato base;2019M10;1.191.120
01 Andaluc’a;Dato base;2019M09;1.375.342
01 Andaluc’a;Dato base;2019M08;1.403.701
01 Andaluc’a;Dato base;2019M07;1.256.656
01 Andaluc’a;Dato base;2019M06;1.243.394
01 Andaluc’a;Dato base;2019M05;1.204.749
01 Andaluc’a;Dato base;2019M04;1.131.483
01 Andaluc’a;Dato base;2019M03;842.934
01 Andaluc’a;Dato base;2019M02;626.983
01 Andaluc’a;Dato base;2019M01;574.761
04 Islas Baleares;Dato base;2019M12;124.847
04 Islas Baleares;Dato base;2019M11;182.713
04 Islas Baleares;Dato base;2019M10;1.224.498
04 Islas Baleares;Dato base;2019M09;2.006.475
04 Islas Baleares;Dato base;2019M08;2.256.991
04 Islas Baleares;Dato base;2019M07;2.344.094
04 Islas Baleares;Dato base;2019M06;2.065.353
04 Islas Baleares;Dato base;2019M05;1.701.167
04 Islas Baleares;Dato base;2019M04;1.081.557
04 Islas Baleares;Dato base;2019M03;365.813
04 Islas Baleares;Dato base;2019M02;184.351
04 Islas Baleares;Dato base;2019M01;141.922
05 Canarias;Dato base;2019M12;1.200.768
05 Canarias;Dato base;2019M11;1.173.313
05 Canarias;Dato base;2019M10;1.143.699
05 Canarias;Dato base;2019M09;952.069
05 Canarias;Dato base;2019M08;1.040.312
05 Canarias;Dato base;2019M07;1.031.598
05 Canarias;Dato base;2019M06;931.782
05 Canarias;Dato base;2019M05;888.777
05 Canarias;Dato base;2019M04;1.105.470
05 Canarias;Dato base;2019M03;1.340.619
05 Canarias;Dato base;2019M02;1.179.673
05 Canarias;Dato base;2019M01;1.158.782
09 Catalu–a;Dato base;2019M12;993.169
09 Catalu–a;Dato base;2019M11;1.047.153
09 Catalu–a;Dato base;2019M10;1.676.430
09 Catalu–a;Dato base;2019M09;2.011.704
09 Catalu–a;Dato base;2019M08;2.363.331
09 Catalu–a;Dato base;2019M07;2.378.593
09 Catalu–a;Dato base;2019M06;2.176.726
09 Catalu–a;Dato base;2019M05;1.835.129
09 Catalu–a;Dato base;2019M04;1.671.426
09 Catalu–a;Dato base;2019M03;1.280.871
09 Catalu–a;Dato base;2019M02;1.030.292
09 Catalu–a;Dato base;2019M01;910.329
10 C.Valenciana;Dato base;2019M12;454.520
10 C.Valenciana;Dato base;2019M11;541.121
10 C.Valenciana;Dato base;2019M10;870.088
10 C.Valenciana;Dato base;2019M09;1.011.901
10 C.Valenciana;Dato base;2019M08;1.270.706
10 C.Valenciana;Dato base;2019M07;1.243.375
10 C.Valenciana;Dato base;2019M06;938.591
10 C.Valenciana;Dato base;2019M05;857.711
10 C.Valenciana;Dato base;2019M04;826.158
10 C.Valenciana;Dato base;2019M03;648.462
10 C.Valenciana;Dato base;2019M02;459.309
10 C.Valenciana;Dato base;2019M01;413.553
13 C.Madrid;Dato base;2019M12;528.787
13 C.Madrid;Dato base;2019M11;665.927
13 C.Madrid;Dato base;2019M10;742.086
13 C.Madrid;Dato base;2019M09;667.799
13 C.Madrid;Dato base;2019M08;542.359
13 C.Madrid;Dato base;2019M07;626.031
13 C.Madrid;Dato base;2019M06;702.026
13 C.Madrid;Dato base;2019M05;758.323
13 C.Madrid;Dato base;2019M04;640.694
13 C.Madrid;Dato base;2019M03;683.364
13 C.Madrid;Dato base;2019M02;499.245
13 C.Madrid;Dato base;2019M01;584.339
18 Otras Comunidades Autónomas;Dato base;2019M12;444.789
18 Otras Comunidades Autónomas;Dato base;2019M11;430.625
18 Otras Comunidades Autónomas;Dato base;2019M10;739.829
18 Otras Comunidades Autónomas;Dato base;2019M09;819.862
18 Otras Comunidades Autónomas;Dato base;2019M08;1.240.966
18 Otras Comunidades Autónomas;Dato base;2019M07;992.922
18 Otras Comunidades Autónomas;Dato base;2019M06;776.021
18 Otras Comunidades Autónomas;Dato base;2019M05;673.347
18 Otras Comunidades Autónomas;Dato base;2019M04;689.245
18 Otras Comunidades Autónomas;Dato base;2019M03;487.515
18 Otras Comunidades Autónomas;Dato base;2019M02;400.651
18 Otras Comunidades Autónomas;Dato base;2019M01;411.955
