restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
Mantua,1,Jerez de la Frontera,Cadiz,Andalucia,Yes,"36.6874279,-6.1380431",36.6874279,-6.1380431,75,90.0,82.5,Moderna,,,
Lu Cocina y Alma,1,Jerez de la Frontera,Cadiz,Andalucia,Yes,"36.6876237,-6.1376777",36.6876237,-6.1376777,90,150.0,120.0,Moderna,,,
Aponiente,3,El Puerto de Santa Maria,Cadiz,Andalucia,Yes,"36.605854,-6.2157528",36.605854,-6.2157528,215,,215.0,Creativa,Innovadora,,
Alevante,1,Novo Sancti Petri,Cadiz,Andalucia,Yes,"36.3442398,-6.1616944",36.3442398,-6.1616944,115,135.0,125.0,Creativa,Innovadora,,
Abantal,1,Sevilla,Sevilla,Andalucia,No,"37.3879127,-5.98587",37.3879127,-5.98587,80,100.0,90.0,Creativa,,,
Bardal,2,Ronda,Malaga,Andalucia,Yes,"36.7415185,-5.168635",36.7415185,-5.168635,115,140.0,127.5,Creativa,,,
Skina,2,Marbella,Malaga,Andalucia,Yes,"36.5114716,-4.8878768",36.5114716,-4.8878768,149,169.0,159.0,Moderna,,,
Messina,1,Marbella,Malaga,Andalucia,Yes,"36.50844,-4.8824148",36.50844,-4.8824148,65,119.0,92.0,Creativa,,,
El Lago,1,Marbella,Malaga,Andalucia,Yes,"36.5058882,-4.781464",36.5058882,-4.781464,65,85.0,75.0,Creativa,,,
Sollo,1,Fuengirola,Malaga,Andalucia,Yes,"36.5800119,-4.597418",36.5800119,-4.597418,110,,110.0,Creativa,Moderna,,
Jose Carlos Garcia,1,Malaga,Malaga,Andalucia,Yes,"36.7172505,-4.414637",36.7172505,-4.414637,100,140.0,120.0,Creativa,,,Andaluza
Choco,1,Cordoba,Cordoba,Andalucia,No,"37.8851881,-4.7645592",37.8851881,-4.7645592,95,125.0,110.0,Creativa,,,
Noor,2,Cordoba,Jaen,Andalucia,No,"37.8897714,-4.7606785",37.8897714,-4.7606785,95,190.0,142.5,Creativa,,,
Baga,1,Jaen,Jaen,Andalucia,No,"37.76686,-3.7883987",37.76686,-3.7883987,75,,75.0,Moderna,,,
Dama Juana,1,Jaen,Jaen,Andalucia,No,"37.7672401,-3.787694",37.7672401,-3.787694,55,85.0,70.0,Moderna,Tradicional,,
La Costa,1,El Ejido,Jaen,Andalucia,No,"36.7708435,-2.8299363",36.7708435,-2.8299363,98,,98.0,Moderna,,,Mediterranea
Atrio,2,Caceres,Caceres,Extremadura,No,"39.4730184,-6.3734946",39.4730184,-6.3734946,185,,185.0,Creativa,,,
Alejandro,1,Roquetas de Mar,Almeria,Andalucia,Yes,"36.755452,-2.6092897",36.755452,-2.6092897,40,85.0,62.5,Contemporanea,,,Andaluza
Retama,1,Torrenueva,Ciudad Real,Castilla la Mancha,No,"38.666574,-3.3120869",38.666574,-3.3120869,50,75.0,62.5,Moderna,,,
Raices - Carlos Maldonado,1,Talavera de la Reina,Toledo,Castilla la Mancha,No,"39.9565843,-4.8342312",39.9565843,-4.8342312,55,65.0,60.0,Creativa,,,
Ivan Cerdeo,1,Toledo,Toledo,Castilla la Mancha,No,"39.8617791,-4.0483204",39.8617791,-4.0483204,45,130.0,87.5,Moderna,,,
El Bohio,1,Illescas,Toledo,Castilla la Mancha,No,"40.1263915,-3.8484781",40.1263915,-3.8484781,70,135.0,102.5,Moderna,,,
Chiron,1,Valdemoro,Madrid,C.Madrid,No,"40.1915878,-3.6786869",40.1915878,-3.6786869,55,99.0,77.0,Moderna,,,
Cabaa Buena Vista,2,El Palmar,Murcia,Murcia,Yes,"37.9112503,-1.0589374",37.9112503,-1.0589374,70,140.0,105.0,Creativa,,,
Corral de la Moreria Gastronomico,1,Madrid,Madrid,C.Madrid,No,"40.4126847,-3.7163528",40.4126847,-3.7163528,49,85.0,67.0,Moderna,,,
Yugo,1,Madrid,Madrid,C.Madrid,No,"40.4105196,-3.6950356",40.4105196,-3.6950356,125,165.0,145.0,Internacional,,Japonesa,
Gofio,1,Madrid,Madrid,C.Madrid,No,"40.4138889,-3.700472",40.4138889,-3.700472,65,95.0,80.0,Regional,,,Canaria
Odiseo,1,Murcia,Murcia,Murcia,Yes,"37.9995489,-1.1292663",37.9995489,-1.1292663,65,90.0,77.5,Moderna,,,
Cebo,1,Madrid,Madrid,C.Madrid,No,"40.4162409,-3.7008853",40.4162409,-3.7008853,85,120.0,102.5,Creativa,,,
El Club Allard,1,Madrid,Madrid,C.Madrid,No,"40.4231877,-3.7164477",40.4231877,-3.7164477,85,135.0,110.0,Creativa,,,
Paco Roncero,2,Madrid,Madrid,C.Madrid,No,"40.417865,-3.7026609",40.417865,-3.7026609,148,,148.0,Creativa,,,
DSTAgE,2,Madrid,Madrid,C.Madrid,No,"40.4246028,-3.6985474",40.4246028,-3.6985474,145,170.0,157.5,Creativa,,,
Kabuki,1,Madrid,Madrid,C.Madrid,No,"40.4246024,-3.7051135",40.4246024,-3.7051135,85,130.0,107.5,Internacional,,Japonesa,
Saddle,1,Madrid,Madrid,C.Madrid,No,"40.4274198,-3.6933023",40.4274198,-3.6933023,85,120.0,102.5,Contemporanea,,,
