Provincias,Unemployment rate
Nacional,"16,13"
Albacete,"17,44"
Alicante,"19,41"
Almeria,"21,15"
Alava,"9,99"
Asturias,"13,5"
Avila,"16,06"
Badajoz,"22,91"
Islas Baleares,"17,34"
Barcelona,"13,67"
Vizcaya,"11,86"
Burgos,"9,4"
Caceres,"18,52"
Cadiz,"24,91"
Cantabria,"11,79"
Castellon,"14,12"
Ciudad Real,"17,49"
Cordoba,"23,75"
La Coruna,"11,63"
Cuenca,"12,73"
Guipuzcua,"7,02"
Gerona,"13,33"
Granada,"24,84"
Guadalajara,"13,96"
Huelva,"27,16"
Huesca,"12,46"
Jaen,"22,75"
Leon,"12,07"
Lerida,"10,98"
Lugo,"8,25"
Madrid,"13,53"
Malaga,"19,32"
Murcia,"15,39"
Navarra,"11,65"
Ourense,"10,26"
Palencia,"9,64"
Las Palmas,"25,88"
Pontevedra,"13,27"
La Rioja,"10,36"
Salamanca,"15,75"
Santa Cruz de Tenerife,"24,53"
Segovia,"8,21"
Sevilla,"22,44"
Soria,"7,67"
Tarragona,"17,47"
Teruel,"9,25"
Toledo,"19,85"
Valencia,"14,65"
Valladolid,"11,35"
Zamora,"11,47"
Zaragoza,"12,92"
Ceuta,"26,74"
Melilla,"23,83"
